gene1,gene2,gene1_id,gene2_id,score
UBE2E3,TBL1XR1,463,477,1.67574268950915
RANBP2,KIF3B,631,504,1.67571162847479
SIN3A,ARID4B,456,379,1.67562764458344
ADRA1D,HTR2B,95,104,1.6756122416905
CHRM3,HRH1,298,103,1.67556786702889
GRB2,CD164,565,615,1.67531343959861
HSPA8,STXBP1,242,544,1.6752772841727
ADRA2B,HTR1D,211,208,1.67526943862891
ETS1,COP1,437,605,1.67513080995702
CEBPA,NOLC1,418,193,1.67512703179166
MAPT,SRC,222,228,1.6749368110981
FGFR2,PIK3R1,338,538,1.67485755659798
ERBB4,PTK6,347,306,1.67472492526906
DDX5,EED,396,510,1.67471000900726
HSP90AB1,DDR2,301,339,1.67463139844779
RAP1A,TLN1,602,422,1.67462914390834
RAB5A,KIF3B,446,504,1.67454841318486
EGFR,TRPV1,25,311,1.67446566923203
CSNK2A1,SRRM2,287,629,1.67423831830024
DDR2,SRC,339,228,1.67420562007503
PRKAB1,API5,26,371,1.67416324496905
CSNK2A1,FNIP1,287,366,1.67415736045983
ADRA2B,GPER1,211,127,1.67411228594622
PARP2,CD44,351,313,1.67377592898974
MSN,PRKAB1,426,26,1.67372081293518
PSMB2,PSMB10,336,337,1.6737109072758
KDSR,MAPK6,497,381,1.67367040710966
HNRNPA2B1,PCBP1,392,537,1.67364061450042
PPAT,STAU1,246,471,1.67333101571562
ADRA1D,HTR2A,95,101,1.67329681689791
CEBPB,HDAC1,296,205,1.67326794956236
PIK3CB,DDR1,304,79,1.67326001960117
FRS2,PDGFRB,425,45,1.67320062581564
MYO10,PIK3CA,419,302,1.67316678532588
SOGA1,LZTS2,458,630,1.67307296568447
CHRM3,ADRA1B,298,94,1.67307005168632
ADRA2C,HTR1D,210,208,1.67304986851785
ADRA2A,HTR1D,209,208,1.67304986851785
APP,ZNF622,491,499,1.67301264047459
SEC61A1,PSMB2,434,336,1.6729409260816
ERBB2,FLT3,247,44,1.67283485458521
PGR,SMARCD1,30,625,1.67279547232554
SRC,TNFSF11,228,54,1.67247584791385
ABL1,RTL8C,80,423,1.67245897291741
ITK,KPNA1,257,476,1.67236688019643
HNRNPU,GTPBP2,370,424,1.67234358578117
BCR,DDR1,75,79,1.67228335101329
ACSL4,RAB5A,520,446,1.67200813644173
HSPA2,EMSY,291,394,1.67200813634755
ADRA2C,GPER1,210,127,1.6718809685048
ADRA2A,GPER1,209,127,1.6718809685048
PDGFRB,VEGFA,45,305,1.67185472853117
ADRA2B,HTR1A,211,73,1.67184606759707
SYK,HDAC9,258,18,1.67182512068579
ABL2,JAK1,233,331,1.67177792961296
CDK2,CEBPA,261,418,1.67173868811232
SRRM2,SEPTIN7,629,616,1.67169188690279
ADRA2B,OPRK1,211,34,1.67156713270468
TMED2,RAB5A,513,446,1.67138515214874
CSF1R,FYN,77,234,1.67136955275947
MET,ZAP70,329,265,1.67128943086247
NOS2,SLC25A3,224,461,1.67124087720164
GABRA3,PIK3R1,151,538,1.67116809572976
PSMB10,COP1,337,605,1.67112083360373
CHRM3,HTR2B,298,104,1.67098809046039
ATL3,VAPB,414,452,1.67097479772447
AHR,ICAM1,285,314,1.67091147035453
TOP2A,ARID1A,52,380,1.67080799404673
LASP1,G3BP2,541,385,1.67036214225759
CSK,TJP1,237,508,1.67036214225759
ERBB2,VAPB,247,452,1.67033607837304
JAK3,PIK3CB,332,304,1.67031020575504
NRBP1,MED1,502,535,1.67029929243552
ADRB3,PIK3CG,72,262,1.67013434768023
IRF2BP2,HDAC3,492,267,1.67006140563167
PNN,YWHAG,534,454,1.66973567408569
ADRA1B,DRD4,94,212,1.66973231236356
BRPF3,BCR,570,75,1.66968502236773
ADRA2A,HTR1A,209,73,1.66959159198335
ADRA2C,HTR1A,210,73,1.66959159198335
ITK,SYK,257,258,1.66950179823069
CSNK2B,LYN,288,243,1.6694825408717
SLC25A3,UBC,461,444,1.66943845659053
ANXA2,MAPT,373,222,1.66938316014725
PHB2,ATXN10,312,433,1.6693494420135
ADRA2C,OPRK1,210,34,1.66930979283199
ADRA2A,OPRK1,209,34,1.66930979283199
SIK1,MAPT,344,222,1.6692966275843
HIF1A,AR,632,37,1.66929604335604
CEBPA,VDR,418,0,1.66924205726289
SIN3A,PFN2,456,582,1.66916235404663
BASP1,ZDHHC5,488,557,1.66911142821466
ESRRA,PPARG,254,24,1.66907901536635
DRD4,STXBP1,212,544,1.66902178368154
CSNK2A1,FRK,287,241,1.66902140586723
DDR2,PIM1,339,256,1.66894333478956
CHRM3,HTR2A,298,101,1.66862334519202
ICAM1,NOS2,314,224,1.66822834945395
PATL1,PUM1,624,539,1.66819196288585
GPER1,HTR1D,127,208,1.66819047196184
RHOC,BCR,583,75,1.66787737076951
MAP2K1,MAP2K4,342,566,1.66787429999514
DNMT3B,MACROH2A1,249,487,1.66786023189727
PADI4,HDAC2,197,21,1.66766742797377
DRD5,PIK3CG,214,262,1.66759678639708
TOP1,VCAM1,124,162,1.66756465113826
HNRNPD,ZNF207,530,571,1.66740221753436
NME4,HDAC7,362,297,1.66727688666436
PUM1,G3BP2,539,385,1.66723806929521
RARA,TOP2B,112,99,1.66709720003608
BAD,WNK1,358,430,1.66700911806524
LIG3,CRBN,14,53,1.66700874192306
ZDHHC5,PFN2,557,582,1.66699152701669
VIM,ZNF217,413,401,1.66684043545817
TUBA1A,PUDP,65,367,1.66683723448512
HSP90AA1,IKBKB,290,198,1.66680099487473
HACD3,VAPB,374,452,1.66663967534268
FYN,SV2A,234,217,1.66659366063053
KDR,MET,43,329,1.66656263358024
HNRNPD,PTGS2,530,56,1.66651845228316
CDKN1A,TMSB4X,204,378,1.66651049690491
FTL,TOP2B,589,99,1.66643984187685
MBNL1,PSMB8,543,334,1.66640427072972
LYN,ADAM9,243,405,1.66631166329325
ADRA2B,DRD3,211,207,1.66617557214239
MAP2,ACTB,221,286,1.66612513236388
EPHA2,FGFR4,229,341,1.66611585990977
CHRM3,ADRA1A,298,93,1.66599969484717
DYNLL2,MOB4,509,383,1.66599042152004
AP2B1,ATXN10,475,433,1.66589368838727
EIF4G2,EIF3F,408,289,1.66587073631721
TUBB,TUBG1,29,67,1.66581793441619
HTR1D,OPRK1,208,34,1.6655757657805
CDK4,HSP90AB1,348,301,1.66557479921716
UBR5,PGR,404,30,1.66551999077059
PDGFRB,STAT5B,45,232,1.66543301542162
CCN2,ACTB,518,286,1.66494762484611
SEC61A1,PRKAB1,434,26,1.66493617814731
ZDHHC5,CHORDC1,557,439,1.66492323109479
ADRA2B,DRD4,211,212,1.66487966192461
PSMB5,PSMB10,2,337,1.66486912252022
GPER1,HTR1A,127,73,1.66465472798275
TLN1,TPM1,422,572,1.66438047109415
GPER1,OPRK1,127,34,1.66436657078153
MAP4,RAB5A,220,446,1.6642494260745
MET,PIK3R1,329,538,1.66413923483893
SEC61A1,PSMB5,434,2,1.66406766799213
PSMB9,G3BP2,335,385,1.66395624395339
PSMB9,NOLC1,335,193,1.66395624395339
ADRA2A,DRD3,209,207,1.66386226600137
ADRA2C,DRD3,210,207,1.66386226600137
CSK,SLC25A3,237,461,1.66376827582215
HCK,KIT,275,46,1.66375999392434
CSK,TLN1,237,422,1.66348030173139
SLC25A3,MAP2K2,461,343,1.66347067186328
SRRM2,API5,629,371,1.66338172590883
OSBPL8,PDPK1,511,263,1.6629802946453
ZBTB18,HSPA8,593,242,1.66288549337664
ERBB2,FLT4,247,42,1.66282490335138
CLTC,SNX5,375,550,1.66274041441024
ADRA2C,DRD4,210,212,1.66255273292305
